word,part_of_speech,topic,context
gray,adj & n,Colours,
get,v,,
grilled,adj,Food and Drink,
get back,v,,
grocery store,n,Places: Buildings,
ground,n,,
get dressed,v,Clothes and Accessories,
group,n,Entertainment and Media; Family and Friends,
get fit,v,,
grow,v,The Natural World,
get married,v,,
grow up,phr v,,
guess,v,,
get off,phr v,,
Guess what?,v,,
guest,n,Family and Friends; Work and Jobs,
get on,phr v,,
guest-house,n,Places: Buildings,
guide,n,Work and Jobs,
get up,phr v,,
guidebook,n,,
guitar,n,Entertainment and Media; Hobbies and Leisure,
gift,n,,
guy,n,Family and Friends,
giraffe,n,,
girl,n,Family and Friends,
gym,n,,
girlfriend,n,,
give,v,,
give back,v,,
give somebody a call,v,Clothes and Accessories,
give somebody a ring,v,Clothes and Accessories,
glad,adj,,
hair,n,"Health, Medicine and Exercise",
glass,n & adj,Food and Drink,
half,"det, n & pron",Measurements; Time,
glasses,n pl,Clothes and Accessories,
half-price,adj,,
glove,n,Clothes and Accessories,
hall,n,House and Home,
go,v,Hobbies and Leisure; Shopping,
hand,n,"Health, Medicine and Exercise",
goal,n,Sport,
handbag,n,Clothes and Accessories,
goat,n,,
happen,v,,
gold,n & adj,,
happy,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
golden,adj,Colours,
harbour,n,,
golf,n,Sport,
good,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
hard,adj & adv,"Personal Feelings, Opinions and Experiences (adjectives)",
good afternoon,exclam,,
hard wood,adj,,
goodbye,exclam,,
good evening,exclam,,
good-looking,adj,,
hat,n,Clothes and Accessories,
good morning,exclam,,
hate,v,,
good night,exclam,,
have,av & v,,
go out,phr v,Entertainment and Media; Hobbies and Leisure,
have got to,mv,,
have to,mv,,
he,pron,,
grade,n,,
head,n,"Health, Medicine and Exercise",
gram,n,Measurements,
gramme,n,Measurements,
grandchild,n,Family and Friends,
grandad,n,Family and Friends,
granddad,n,Family and Friends,
headache,n,,
headphones,n,,
granddaughter,n,Family and Friends,
headteacher,n,,
grandfather,n,Family and Friends,
health,n,"Health, Medicine and Exercise",
grandma,n,Family and Friends,
healthy,adj,,
grandmother,n,Family and Friends,
grandpa,n,Family and Friends,
hear,v,"Health, Medicine and Exercise",
heart,n,"Health, Medicine and Exercise",
ice cream,n,Food and Drink,
heating,n,Appliances; House and Home,
ice skating,n,,
ID,n,,
ID card,n,,
heavy,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
idea,n,,
identification,n,,
helicopter,n,Travel and Transport,
if,conj,,
hello,exclam,,
ill,adj,"Health, Medicine and Exercise",
help,v & n,,
immediately,adv,,
important,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
helpful,adj,,
impossible,adj,,
her,det & pron,,
improve,v,,
here,adv,,
in,adv & prep,,
hers,pron,,
include,v,,
herself,pron,,
including,prep,,
indoor,adj,,
hey,exclam,,
indoors,adv,,
hi,exclam,,
information,n,Communication and Technology; Education; Services,
high,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
in front of,prep phr,,
hill,n,Places: Countryside; The Natural World,
ingredient,n,,
him,pron,,
insect,n,,
himself,pron,,
inside,adv & prep,,
instead,adv,,
hip hop,n,Entertainment and Media,
instead of,prep,,
hippo,n,,
instructions,n pl,Education; Work and Jobs,
his,det & pron,,
instrument,n,Entertainment and Media,
history,n,Education,
interested,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
hit,v,,
interesting,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
hobby,n,Hobbies and Leisure,
international,adj,,
hockey,n,Sport,
internet,n,Communication and Technology,
hold,v,,
into,prep,,
holiday,n,Hobbies and Leisure; Time,
invent,v,,
home,n & adv,House and Home,
invention,n,,
homework,n,Education,
invitation,n,,
honey,n,Food and Drink,
invite,v,,
hoodie,n,Clothes and Accessories,
island,n,Places: Countryside; The Natural World,
hope,v,,
it,pron,,
horrible,adj,,
IT,n,,
horror,adj,,
its,det,,
horse,n,,
itself,pron,,
